"Timestamp","Texture Assessment:
Please rate the texture of this mango image ?","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Maturity Assessment:
Please rate the maturity of the above mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image "
"2024/05/17 11:53:53 am GMT+5:30","Smooth","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Moderately Smooth","Healthy","Ripe","Moderately Smooth","Healthy","Partially ripe","Smooth","Slightly Unhealthy","Partially ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Very Smooth","Very Healthy","Ripe","Slightly Rough","Unripe","Moderately Healthy","Slightly Rough","Very Unhealthy","Partially ripe","Slightly Rough","Very Unhealthy","Early ripe","Smooth","Moderately Healthy","Early ripe"
"2024/05/17 11:54:27 am GMT+5:30","Very Rough","Very Unhealthy","Unripe","Very Smooth","Very Healthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Ripe","Slightly Rough","Slightly Unhealthy","Early ripe","Slightly Rough","Healthy","Ripe","Very Smooth","Healthy","Ripe","Moderately Smooth","Partially ripe","Moderately Healthy","Very Rough","Very Unhealthy","Unripe","Very Rough","Very Unhealthy","Unripe","Smooth","Healthy","Early ripe"
"2024/05/17 12:01:10 pm GMT+5:30","Smooth","Very Unhealthy","Over ripe","Moderately Smooth","Healthy","Ripe","Slightly Rough","Healthy","Ripe","Moderately Smooth","Healthy","Ripe","Smooth","Slightly Unhealthy","Ripe","Very Smooth","Very Unhealthy","Over ripe","Smooth","Very Healthy","Ripe","Very Rough","Unripe","Slightly Unhealthy","Very Smooth","Very Unhealthy","Over ripe","Very Smooth","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Partially ripe"
"2024/05/17 12:06:07 pm GMT+5:30","Very Rough","Slightly Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Early ripe","Moderately Smooth","Moderately Healthy","Over ripe","Moderately Smooth","Moderately Healthy","Ripe","Moderately Smooth","Moderately Healthy","Over ripe","Moderately Smooth","Slightly Unhealthy","Early ripe","Smooth","Healthy","Ripe","Smooth","Unripe","Moderately Healthy","Very Rough","Moderately Healthy","Over ripe","Very Rough","Moderately Healthy","Over ripe","Slightly Rough","Slightly Unhealthy","Early ripe"
"2024/05/17 12:11:06 pm GMT+5:30","Very Rough","Very Unhealthy","Ripe","Smooth","Healthy","Early ripe","Smooth","Healthy","Unripe","Smooth","Healthy","Early ripe","Moderately Smooth","Moderately Healthy","Unripe","Slightly Rough","Slightly Unhealthy","Partially ripe","Very Smooth","Very Healthy","Unripe","Very Smooth","Unripe","Very Healthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Early ripe"
"2024/05/17 5:56:31 pm GMT+5:30","Slightly Rough","Slightly Unhealthy","Partially ripe","Very Smooth","Very Healthy","Over ripe","Smooth","Healthy","Ripe","Smooth","Moderately Healthy","Over ripe","Smooth","Healthy","Ripe","Smooth","Healthy","Ripe","Smooth","Moderately Healthy","Early ripe","Very Rough","Unripe","Very Healthy","Moderately Smooth","Healthy","Ripe","Smooth","Healthy","Ripe","Very Smooth","Very Healthy","Over ripe"
"2024/05/18 11:52:09 am GMT+5:30","Moderately Smooth","Moderately Healthy","Partially ripe","Very Smooth","Healthy","Ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Moderately Healthy","Ripe","Very Smooth","Very Healthy","Partially ripe","Very Smooth","Healthy","Early ripe","Slightly Rough","Early ripe","Moderately Healthy","Slightly Rough","Slightly Unhealthy","Partially ripe","Smooth","Very Healthy","Ripe","Very Smooth","Very Healthy","Early ripe"
"2024/05/18 11:53:25 am GMT+5:30","Very Rough","Very Unhealthy","Unripe","Moderately Smooth","Very Unhealthy","Unripe","Moderately Smooth","Very Unhealthy","Over ripe","Very Smooth","Moderately Healthy","Early ripe","Smooth","Moderately Healthy","Early ripe","Smooth","Healthy","Partially ripe","Very Smooth","Very Healthy","Over ripe","Slightly Rough","Unripe","Slightly Unhealthy","Very Rough","Very Unhealthy","Unripe","Very Rough","Very Unhealthy","Unripe","Very Smooth","Healthy","Ripe"
"2024/05/18 11:54:34 am GMT+5:30","Very Rough","Very Unhealthy","Unripe","Very Smooth","Moderately Healthy","Partially ripe","Very Smooth","Very Healthy","Ripe","Very Smooth","Very Healthy","Ripe","Smooth","Moderately Healthy","Over ripe","Slightly Rough","Moderately Healthy","Partially ripe","Very Smooth","Healthy","Over ripe","Moderately Smooth","Ripe","Healthy","Smooth","Healthy","Ripe","Slightly Rough","Very Unhealthy","Unripe","Smooth","Moderately Healthy","Early ripe"
"2024/05/18 11:55:43 am GMT+5:30","Moderately Smooth","Moderately Healthy","Partially ripe","Very Smooth","Moderately Healthy","Ripe","Very Smooth","Healthy","Partially ripe","Very Smooth","Healthy","Ripe","Very Smooth","Very Healthy","Over ripe","Moderately Smooth","Healthy","Ripe","Smooth","Healthy","Ripe","Moderately Smooth","Early ripe","Slightly Unhealthy","Very Rough","Very Unhealthy","Unripe","Slightly Rough","Slightly Unhealthy","Unripe","Smooth","Moderately Healthy","Early ripe"
"2024/05/18 12:01:25 pm GMT+5:30","Very Rough","Slightly Unhealthy","Partially ripe","Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Ripe","Smooth","Very Healthy","Ripe","Slightly Rough","Slightly Unhealthy","Partially ripe","Smooth","Slightly Unhealthy","Ripe","Smooth","Healthy","Ripe","Smooth","Unripe","Slightly Unhealthy","Very Rough","Very Unhealthy","Unripe","Very Rough","Very Unhealthy","Unripe","Smooth","Moderately Healthy","Partially ripe"
"2024/05/18 12:20:38 pm GMT+5:30","Slightly Rough","Very Unhealthy","Over ripe","Smooth","Healthy","Ripe","Smooth","Healthy","Ripe","Smooth","Healthy","Over ripe","Moderately Smooth","Moderately Healthy","Over ripe","Smooth","Moderately Healthy","Over ripe","Very Smooth","Very Healthy","Over ripe","Smooth","Unripe","Slightly Unhealthy","Slightly Rough","Slightly Unhealthy","Partially ripe","Very Rough","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe"
